id,V,stV,Vi,stVi,Ve
8PBJ,182.8,14.579,17,3.033,165.8
8PBP,169.2,8.28,15.8,1.72,153.4
8PBM,168,10.257,15.8,2.4,152.2
6HG2,166.2,6.4,15.4,1.744,150.8
8PBH,167.8,15.471,15.4,3.2,152.4
8PBQ,134.8,25.957,16.2,5.81,118.6
1UPX,132.2,2.227,17.6,0.49,114.6
6YPS,130,4.147,13.4,0.8,116.6
4X1N,130.4,1.497,14.2,0.4,116.2
5AGV,129.8,16.191,15.8,3.487,114
6Q3C,126.2,9.516,9.4,1.855,116.8
5N3S,127.8,4.49,16.4,1.497,111.4
6HS9,124.8,11.889,14.8,2.561,110
3FA3,117.6,9.135,13.2,1.939,104.4
2ON3,116.2,5.636,11.2,1.166,105
8PBI,237.4,8.913,8.2,1.166,229.2
4YAS,110.2,4.445,0.4,0.49,109.8
4S39,114.8,19.343,12.2,4.4,102.6
8PBT,251.4,19.376,35.2,13.775,216.2
1N55,106.6,1.625,11.2,0.4,95.4
2RK7,104.8,15.471,5.8,2.638,99
5RV1,96.2,1.327,5.8,0.4,90.4
1RPJ,94.4,7.392,6.4,0.8,88
4RS3,87.6,9.308,7,1.789,80.6
4YIW,285.6,14.235,66,5.933,219.6
2HAW,71.4,7.965,6.8,1.833,64.6
6KLK,324.6,5.238,102.4,3.441,222.2
8PBG,341.8,8.931,76.4,3.2,265.4
4ABI,4959,123.966,5105.2,270.684,146.2
4HY9,2733.6,383.26,2807.4,357.029,73.8
1E3V,1512.6,189.486,1420.8,68.875,91.8
5MXO,2264.4,249.728,2187,149.843,77.4
7NUS,4330.4,322.017,4252.8,572.017,77.6
5UQC,843.2,100.946,202,55.742,641.2
4GZ7,458.4,4.409,95.8,2.315,362.6
4XAR,181.8,6.794,20.6,2.245,161.2
7L3E,175.6,5.463,17.8,1.939,157.8
4Y3E,175.4,8.616,15.8,1.939,159.6
3VIF,175,8.438,17.2,1.72,157.8
2Q8H,175.8,7.467,19,1.414,156.8
2ZPI,174.4,7.94,17,4.147,157.4
6Q3B,172.8,8.542,10.4,1.02,162.4
4UFL,189.4,1.744,20.6,0.49,168.8
2ADA,175.4,3.382,7,0,168.4
1AJQ,171.6,8.015,17.6,0.49,154
5ZIO,347,3.521,61.8,1.939,285.2
3EX6,344.2,7.935,61.2,2.227,283
4PF5,344.4,8.452,61.6,3.137,282.8
1QY1,345.8,8.863,59.8,2.135,286
5RSG,339.6,4.499,59.2,2.482,280.4
2HJB,340.4,6.468,61,3.347,279.4
5N53,344.4,9.728,58.6,4.499,285.8
4PFT,341.4,9.646,60.8,2.561,280.6
5ZJ8,349.8,4.261,61.4,2.059,288.4
5OST,349.4,5.886,64.8,2.315,284.6
6I3D,339.2,5.381,63.4,1.02,275.8
6ETG,339.8,6.823,51.8,1.72,288
2J79,342.6,3.137,67,1.095,275.6
5OFW,345.8,11.179,64.4,7.71,281.4
3IP8,352.8,5.913,60.8,1.166,292
2HKF,335.6,6.02,60.4,2.871,275.2
2XDX,343,14.491,55.4,4.841,287.6
5R55,333.2,3.429,54.6,2.939,278.6
3AZ9,335.8,10.833,59.2,4.308,276.6
4MUV,353.6,8.593,62.4,3.323,291.2
2NND,333.2,6.969,52.8,2.315,280.4
6YIY,346.4,5.389,71,3.406,275.4
2ON6,343,12.506,67.4,5.314,275.6
1N43,333.4,8.958,50.4,4.543,283
3N1C,333.4,9.478,50.8,5.418,282.6
4G41,341.2,14.634,51.4,7.172,289.8
1FIN,342.4,4.964,47.6,1.2,294.8
1PDZ,351.8,12.352,56.6,2.059,295.2
2CLK,337.6,14.108,48.6,1.744,289
5OFV,333.6,15.2,51.6,4.176,282
2Q7Q,359,5.831,70,2.098,289
3RZ5,355,6.542,56.4,3.72,298.6
3G2J,356.2,4.354,74.4,2.728,281.8
2XDK,355.2,8.841,74.4,2.871,280.8
4C1E,340.4,4.964,71.8,2.4,268.6
6U22,328.4,3.666,47.2,1.166,281.2
5G46,334,17.765,54.2,9.152,279.8
6AP6,327.2,4.445,52.4,1.356,274.8
1KTI,343.8,22.427,56.2,8.035,287.6
3KWA,356.4,10.651,74.8,0.98,281.6
3K14,352.4,22.005,63.2,1.72,289.2
4EFK,326.6,8.958,50.6,1.96,276
3TG2,356,14.629,58.2,4.75,297.8
2YEX,352.2,21.812,61.6,7.761,290.6
5JHD,349.6,10.538,76.6,4.03,273
1W80,337.8,10.342,71.2,4.167,266.6
7LX9,326.2,5.913,56.2,2.4,270
1QY2,330,18.73,54.6,6.086,275.4
3OYW,325,10.583,52.6,3.499,272.4
2WKY,327.8,7.414,41.6,1.855,286.2
3P8E,359,17.889,68.6,8.913,290.4
3DZJ,333.6,1.855,39.6,1.356,294
4QER,328.2,7.111,41,1.265,287.2
3RDQ,355.8,11.923,78.4,5.426,277.4
3T3H,364.2,4.622,70.4,1.02,293.8
4OGW,360.4,14.881,62.4,6.344,298
5VKB,357.4,18.779,59.2,5.636,298.2
2FF2,354.6,17.316,53.2,4.214,301.4
3DCS,353.8,20.999,73.8,9.948,280
2Y7W,328.8,20.904,54.6,8.868,274.2
5A6M,339.4,11.672,75,4,264.4
6Q4E,324.4,9.831,43,3.347,281.4
5N1H,325.8,9.02,60.6,2.577,265.2
3RDV,356.6,12.403,79.8,5.776,276.8
5BZM,333.2,11.089,69.8,6.274,263.4
3L14,359.8,4.4,55.4,5.987,304.4
5PHL,341,3.899,77.2,4.261,263.8
4Y39,365.4,5.953,75.2,3.311,290.2
5ANT,336.4,28.814,50.8,6.524,285.6
4WKS,331,16.947,40.6,7.71,290.4
1JH8,357,24.964,63.4,9.2,293.6
3S0D,322.6,10.327,55,4.05,267.6
2AY5,329.6,7.06,68.2,1.47,261.4
4LK6,336.8,13.732,73.8,4.534,263
1H0R,342.2,11.426,78.2,4.02,264
4RA1,350.4,20.684,48.2,5.381,302.2
5ULN,340.6,27.732,49.2,9.558,291.4
6UFD,330,22.926,44.6,7.813,285.4
6ETT,358.6,4.587,51.4,3.072,307.2
3T84,364.4,3.007,80,3.033,284.4
3WUT,320.2,2.713,51.2,2.315,269
2H4K,340.6,26.158,46,8.222,294.6
3I4A,321.8,5.776,40.6,1.855,281.2
5NG9,355.8,12.287,83,5.06,272.8
4B0C,344.4,3.929,38.8,1.166,305.6
5Z9Y,364.2,15.394,78.4,5.161,285.8
3T3G,335,5.692,75.2,5.231,259.8
5SBN,321.8,17.904,47.4,1.96,274.4
6B4D,333.8,27.447,64.4,7.392,269.4
3IET,358.4,24.254,58.8,8.565,299.6
5X4P,359.6,26.688,69,6.957,290.6
5ZN1,364.2,15.51,79.2,5.036,285
3S0B,342.4,11.056,38,4.336,304.4
6A11,368.4,7.419,75.8,4.75,292.6
4QXQ,368.4,6.119,67,1.897,301.4
6C7W,345.2,22.781,43.8,7.935,301.4
3IFL,358.2,25.333,58.6,8.686,299.6
